epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,5670.13,1.41676,0.68145,1.17482,0.89063,0.81944,0.86878,0.32953,1.8751,0.81265,1.40587,0.001142,0.001142,0.001142
67,5750.84,1.33686,0.64372,1.07799,0.90436,0.81614,0.88119,0.33225,1.79857,0.71584,1.34758,0.0011288,0.0011288,0.0011288
68,5830.94,1.42498,0.67897,1.16492,0.88728,0.81349,0.85399,0.31625,1.7794,0.77054,1.32142,0.0011156,0.0011156,0.0011156
69,5910.49,1.29739,0.65679,1.03496,0.888,0.79861,0.84553,0.31028,1.84011,0.82228,1.35444,0.0011024,0.0011024,0.0011024
70,5990.42,1.33081,0.61926,1.08681,0.89098,0.81889,0.85918,0.31901,1.82348,0.75218,1.35048,0.0010892,0.0010892,0.0010892
71,6071.1,1.30315,0.59523,1.05677,0.87295,0.82477,0.86156,0.31434,1.86065,0.78579,1.36999,0.001076,0.001076,0.001076
72,6151.32,1.3744,0.60867,1.09246,0.9026,0.81944,0.87012,0.32417,1.86988,0.78848,1.37499,0.0010628,0.0010628,0.0010628
73,6231.83,1.3375,0.59553,1.08192,0.88811,0.83929,0.87802,0.33135,1.83516,0.73026,1.34619,0.0010496,0.0010496,0.0010496
74,6312.35,1.3726,0.61268,1.13026,0.88397,0.8314,0.8676,0.31998,1.8685,0.73365,1.36607,0.0010364,0.0010364,0.0010364
75,6392.69,1.35881,0.60159,1.13026,0.90441,0.82595,0.87476,0.33398,1.77729,0.81339,1.33531,0.0010232,0.0010232,0.0010232
76,6473.5,1.37645,0.63963,1.14297,0.88126,0.84675,0.88762,0.33199,1.82767,0.71125,1.35034,0.00101,0.00101,0.00101
77,6554.45,1.35825,0.62588,1.089,0.88393,0.82837,0.87848,0.33428,1.8079,0.80868,1.32962,0.0009968,0.0009968,0.0009968
78,6634.46,1.38822,0.6067,1.13315,0.88605,0.83311,0.87979,0.33044,1.83368,0.72129,1.34112,0.0009836,0.0009836,0.0009836
79,6715.39,1.33568,0.59611,1.07438,0.90287,0.82997,0.88289,0.33709,1.79335,0.76387,1.32416,0.0009704,0.0009704,0.0009704
80,6796.07,1.30378,0.59998,1.08321,0.88967,0.82044,0.87762,0.32623,1.84756,0.73356,1.3474,0.0009572,0.0009572,0.0009572
81,6876.23,1.35301,0.63476,1.06549,0.87826,0.81151,0.86273,0.31777,1.86749,0.76616,1.37188,0.000944,0.000944,0.000944
82,6956.75,1.34926,0.61264,1.07487,0.89872,0.82837,0.88209,0.32925,1.82989,0.74991,1.34468,0.0009308,0.0009308,0.0009308
83,7038.01,1.33294,0.62273,1.07664,0.88833,0.82865,0.8738,0.32656,1.8236,0.77266,1.35888,0.0009176,0.0009176,0.0009176
84,7118.24,1.33946,0.62539,1.08753,0.90904,0.78373,0.85957,0.31224,1.88195,0.86262,1.37574,0.0009044,0.0009044,0.0009044
85,7199.05,1.37075,0.64077,1.0995,0.87209,0.8125,0.86572,0.32029,1.87198,0.74915,1.37183,0.0008912,0.0008912,0.0008912
86,7280.69,1.34911,0.59618,1.09663,0.87683,0.83036,0.86331,0.31261,1.82875,0.70332,1.34747,0.000878,0.000878,0.000878
87,7361.29,1.38931,0.61914,1.13926,0.91074,0.82143,0.8724,0.32421,1.82836,0.74461,1.34938,0.0008648,0.0008648,0.0008648
88,7441.82,1.26693,0.56546,1.0631,0.90236,0.82837,0.87244,0.32687,1.82296,0.77556,1.34729,0.0008516,0.0008516,0.0008516
89,7523.21,1.32001,0.58149,1.08142,0.89555,0.81656,0.88422,0.33784,1.80959,0.80618,1.3344,0.0008384,0.0008384,0.0008384
90,7607.06,1.36319,0.61118,1.12365,0.897,0.8244,0.89026,0.3348,1.86314,0.88126,1.36363,0.0008252,0.0008252,0.0008252
91,7695.37,1.26472,0.55128,1.0424,0.89416,0.82738,0.87682,0.3274,1.86491,0.92263,1.35798,0.000812,0.000812,0.000812
92,7783.75,1.31825,0.56917,1.08073,0.88062,0.84921,0.88032,0.33375,1.84379,0.74649,1.36026,0.0007988,0.0007988,0.0007988
93,7872.92,1.28088,0.54946,1.07121,0.88263,0.843,0.88303,0.33392,1.83597,0.73407,1.35483,0.0007856,0.0007856,0.0007856
94,7966.18,1.29512,0.5536,1.06842,0.89148,0.81647,0.86363,0.31759,1.83373,0.86129,1.37719,0.0007724,0.0007724,0.0007724
95,8054.29,1.29981,0.55326,1.07706,0.90483,0.8112,0.87084,0.31469,1.84251,0.82141,1.35813,0.0007592,0.0007592,0.0007592
96,8142.7,1.26073,0.51815,1.04056,0.89289,0.82341,0.86814,0.31606,1.90022,0.79904,1.39439,0.000746,0.000746,0.000746
97,8232.28,1.29772,0.55412,1.0477,0.88341,0.83439,0.8714,0.3266,1.88051,0.77109,1.38172,0.0007328,0.0007328,0.0007328
98,8321.42,1.26636,0.54161,1.0497,0.91554,0.83876,0.88292,0.33593,1.87326,0.79078,1.38061,0.0007196,0.0007196,0.0007196
99,8409.94,1.32749,0.56621,1.09189,0.897,0.82937,0.87654,0.33977,1.84174,0.77648,1.36555,0.0007064,0.0007064,0.0007064
100,8498.77,1.26369,0.57945,1.03017,0.89712,0.82937,0.86391,0.32546,1.92685,0.75613,1.41795,0.0006932,0.0006932,0.0006932
101,8588.51,1.31076,0.53613,1.06969,0.89268,0.82937,0.87568,0.33481,1.8309,0.73575,1.36086,0.00068,0.00068,0.00068
