epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,5527.43,1.46393,0.70168,1.20833,0.88465,0.80651,0.86196,0.32259,1.79632,0.70631,1.43338,0.0011024,0.0011024,0.0011024
70,5592.08,1.44083,0.67701,1.19545,0.89064,0.82415,0.85908,0.31752,1.80497,0.67973,1.41898,0.0010892,0.0010892,0.0010892
71,5657.25,1.49192,0.73567,1.2228,0.90095,0.80314,0.84459,0.29421,1.84065,0.69672,1.45145,0.001076,0.001076,0.001076
72,5721.46,1.46004,0.66521,1.21286,0.895,0.81183,0.86322,0.30929,1.84113,0.69614,1.4366,0.0010628,0.0010628,0.0010628
73,5785.53,1.5186,0.70839,1.24508,0.86865,0.82341,0.85405,0.31108,1.81083,0.70526,1.42093,0.0010496,0.0010496,0.0010496
74,5848.72,1.45709,0.69149,1.21852,0.90011,0.81346,0.85881,0.32129,1.80282,0.68311,1.428,0.0010364,0.0010364,0.0010364
75,5912.09,1.43533,0.65419,1.21138,0.90042,0.80556,0.86909,0.32647,1.85003,0.68339,1.46399,0.0010232,0.0010232,0.0010232
76,5973.33,1.43885,0.64536,1.22185,0.87253,0.80456,0.85927,0.33404,1.85204,0.70466,1.43947,0.00101,0.00101,0.00101
77,6037.12,1.46368,0.68695,1.23654,0.8786,0.81944,0.85714,0.32194,1.82185,0.7401,1.41548,0.0009968,0.0009968,0.0009968
78,6112.63,1.40333,0.6338,1.18137,0.87808,0.8006,0.84863,0.31039,1.84137,0.67881,1.436,0.0009836,0.0009836,0.0009836
79,6187.54,1.44386,0.64518,1.17588,0.87782,0.84104,0.86752,0.32643,1.82175,0.67068,1.42277,0.0009704,0.0009704,0.0009704
80,6261.44,1.40794,0.64597,1.17336,0.89141,0.81436,0.86082,0.32176,1.79801,0.74251,1.3918,0.0009572,0.0009572,0.0009572
81,6334.36,1.30319,0.59769,1.09608,0.872,0.8244,0.85435,0.30803,1.823,0.72452,1.43219,0.000944,0.000944,0.000944
82,6407.74,1.37628,0.59872,1.15826,0.88185,0.83532,0.86561,0.31427,1.84655,0.68569,1.44775,0.0009308,0.0009308,0.0009308
83,6478.87,1.35596,0.62413,1.15549,0.88594,0.82639,0.85514,0.32492,1.81935,0.66805,1.4325,0.0009176,0.0009176,0.0009176
84,6549.48,1.3609,0.58764,1.1677,0.89164,0.82837,0.86521,0.32051,1.82643,0.68638,1.41968,0.0009044,0.0009044,0.0009044
85,6621.15,1.43105,0.6744,1.16631,0.89458,0.82143,0.86522,0.32267,1.84897,0.71667,1.45839,0.0008912,0.0008912,0.0008912
86,6694.44,1.41404,0.6302,1.20559,0.90668,0.81934,0.87424,0.32162,1.85802,0.65072,1.46171,0.000878,0.000878,0.000878
87,6766.04,1.37944,0.61487,1.16932,0.8856,0.83433,0.86741,0.31227,1.81089,0.6354,1.43786,0.0008648,0.0008648,0.0008648
88,6837.39,1.45666,0.61607,1.2193,0.89334,0.84755,0.88429,0.34384,1.79391,0.62668,1.40326,0.0008516,0.0008516,0.0008516
89,6911.1,1.4424,0.618,1.21087,0.88205,0.80754,0.86269,0.31471,1.88157,0.66666,1.4644,0.0008384,0.0008384,0.0008384
90,6983.11,1.38105,0.59153,1.18619,0.87516,0.83454,0.86727,0.33425,1.82808,0.63076,1.44601,0.0008252,0.0008252,0.0008252
91,7054.57,1.36543,0.5786,1.16519,0.8707,0.83929,0.86745,0.32519,1.84363,0.65926,1.44405,0.000812,0.000812,0.000812
92,7127.48,1.38605,0.59669,1.16595,0.8809,0.82918,0.87012,0.3193,1.83063,0.66597,1.44923,0.0007988,0.0007988,0.0007988
93,7200.59,1.40659,0.60608,1.17287,0.88881,0.80884,0.85918,0.31756,1.86306,0.6513,1.47066,0.0007856,0.0007856,0.0007856
94,7273.57,1.38143,0.59417,1.17354,0.86786,0.81548,0.85938,0.32959,1.85796,0.65909,1.4491,0.0007724,0.0007724,0.0007724
95,7347.63,1.36283,0.61306,1.14198,0.88102,0.84425,0.87841,0.34383,1.84431,0.63982,1.45356,0.0007592,0.0007592,0.0007592
96,7419.46,1.39876,0.60022,1.18635,0.86978,0.81151,0.86022,0.31568,1.92449,0.67253,1.49554,0.000746,0.000746,0.000746
97,7491.44,1.36131,0.57039,1.16904,0.88065,0.82143,0.85682,0.31081,1.91703,0.67132,1.50026,0.0007328,0.0007328,0.0007328
98,7558.09,1.34463,0.57513,1.14733,0.89181,0.81772,0.85611,0.31934,1.8229,0.76562,1.43683,0.0007196,0.0007196,0.0007196
99,7616.71,1.38734,0.58958,1.16884,0.8736,0.84821,0.87038,0.31812,1.83063,0.65651,1.43153,0.0007064,0.0007064,0.0007064
100,7675.07,1.36941,0.5969,1.15114,0.88813,0.84325,0.87476,0.32882,1.79138,0.68684,1.4272,0.0006932,0.0006932,0.0006932
101,7733.11,1.45218,0.65159,1.19588,0.88479,0.82937,0.86524,0.32425,1.84877,0.69766,1.43919,0.00068,0.00068,0.00068
102,7791.05,1.36651,0.58584,1.15876,0.8684,0.84446,0.87147,0.32353,1.82936,0.67035,1.45087,0.0006668,0.0006668,0.0006668
103,7850.12,1.40483,0.57899,1.21534,0.87188,0.84393,0.86778,0.3223,1.80901,0.66565,1.42216,0.0006536,0.0006536,0.0006536
104,7908.86,1.34649,0.57157,1.17013,0.88917,0.83568,0.87214,0.32239,1.81953,0.62718,1.43787,0.0006404,0.0006404,0.0006404
105,7969.01,1.32832,0.55685,1.13905,0.88975,0.83829,0.87096,0.32493,1.84375,0.63454,1.45339,0.0006272,0.0006272,0.0006272
